epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3645,0.99819,4.48903,1.4482,0.22379,0.44012,0.37216,0.30296,0.53323,5.63135,1.17523,2.5e-05,2.5e-05,2.5e-05
2,44.1082,1.12733,4.04433,1.61082,0.30972,0.25,0.33235,0.30434,0.50866,7.09368,1.19891,6.18813e-05,6.18813e-05,6.18813e-05
3,66.6682,0.90401,2.79657,1.50934,0.47031,0.44862,0.45598,0.32861,0.47454,8.8201,1.20656,9.802e-05,9.802e-05,9.802e-05
4,90.9405,0.67667,2.28696,1.17868,0.4659,0.75,0.47113,0.34571,0.61504,6.20643,1.34121,0.000133416,0.000133416,0.000133416
5,114.851,0.7677,2.07936,1.35388,0.60232,0.6434,0.6375,0.57927,0.63604,5.04225,1.43282,0.00016807,0.00016807,0.00016807
6,137.081,0.76132,2.05096,1.26442,0.49837,0.75,0.5087,0.44442,0.65034,4.00777,1.36721,0.000201981,0.000201981,0.000201981
7,158.225,0.54983,1.53364,1.18511,0.6183,0.7196,0.44809,0.40499,0.70128,3.91144,1.3535,0.00023515,0.00023515,0.00023515
8,179.462,0.70539,1.65513,1.24847,1,0.48205,0.6891,0.49508,0.90094,3.77434,1.51797,0.000267576,0.000267576,0.000267576
9,200.284,0.5957,1.69989,1.25116,0.69997,0.625,0.65861,0.45479,1.02435,4.72899,1.59776,0.00029926,0.00029926,0.00029926
10,221.282,0.58115,1.47071,1.19644,0.6282,0.625,0.64198,0.5001,1.02672,4.90053,1.68749,0.000330201,0.000330201,0.000330201
11,241.897,0.69069,1.45902,1.22513,0.579,0.58193,0.47757,0.44055,1.13152,3.39943,1.77168,0.0003604,0.0003604,0.0003604
12,263.66,0.67925,1.45062,1.23097,1,0.42734,0.63352,0.42865,1.376,3.57446,2.13485,0.000389856,0.000389856,0.000389856
13,284.417,0.70921,1.35164,1.22484,0.96098,0.5,0.64036,0.45807,1.3617,3.36681,2.26228,0.00041857,0.00041857,0.00041857
14,305.259,0.6236,1.2047,1.12231,1,0.46431,0.68463,0.55136,1.14634,3.14393,1.97814,0.000446541,0.000446541,0.000446541
15,325.828,0.63232,1.09168,1.16177,1,0.46431,0.68463,0.55136,1.14634,3.14393,1.97814,0.00047377,0.00047377,0.00047377
16,347.087,0.62226,1.39342,1.22395,0.40845,0.57743,0.48524,0.37686,1.12392,2.95077,1.84223,0.000500256,0.000500256,0.000500256
17,368.104,0.55871,1.45062,1.18802,0.93523,0.25,0.4955,0.34119,0.99017,2.85213,1.66429,0.000526,0.000526,0.000526
18,388.923,0.73387,1.23201,1.26132,0.93523,0.25,0.4955,0.34119,0.99017,2.85213,1.66429,0.000551001,0.000551001,0.000551001
19,409.754,0.71206,1.25772,1.23079,0.71035,0.7271,0.71641,0.47701,1.35492,2.47916,2.29866,0.00057526,0.00057526,0.00057526
20,430.478,0.79689,1.04937,1.21945,0.35349,0.84591,0.58135,0.31951,1.77833,3.40106,2.75597,0.000598776,0.000598776,0.000598776
21,450.953,0.76612,0.9851,1.18565,0.35349,0.84591,0.58135,0.31951,1.77833,3.40106,2.75597,0.00062155,0.00062155,0.00062155
22,471.436,0.81871,1.20834,1.35939,0.2071,0.375,0.28927,0.12119,1.88423,3.88144,2.88633,0.000643581,0.000643581,0.000643581
23,491.988,0.5931,1.14738,1.14314,0.2071,0.375,0.28927,0.12119,1.88423,3.88144,2.88633,0.00066487,0.00066487,0.00066487
24,512.587,0.78245,1.16316,1.30325,0.02083,0.875,0.19228,0.13825,1.49139,6.3447,3.30073,0.000685416,0.000685416,0.000685416
25,533.166,0.65969,1.20664,1.09695,0.02083,0.875,0.19228,0.13825,1.49139,6.3447,3.30073,0.00070522,0.00070522,0.00070522
26,553.811,0.61518,0.96429,1.16296,0.88099,0.25,0.31893,0.17315,1.47458,5.24027,3.40809,0.000724281,0.000724281,0.000724281
27,573.306,0.69279,1.25153,1.18448,0.88099,0.25,0.31893,0.17315,1.47458,5.24027,3.40809,0.0007426,0.0007426,0.0007426
28,588.315,0.59849,0.89133,1.06427,0.71271,0.5,0.43859,0.27332,1.7302,8.3762,3.36631,0.000760176,0.000760176,0.000760176
29,603.028,0.66634,1.22435,1.22428,0.71271,0.5,0.43859,0.27332,1.7302,8.3762,3.36631,0.00077701,0.00077701,0.00077701
30,618.828,0.63133,1.02031,1.10175,0.71271,0.5,0.43859,0.27332,1.7302,8.3762,3.36631,0.000793101,0.000793101,0.000793101
31,633.294,0.6642,1.00636,1.16549,0.69238,0.5,0.40811,0.21554,1.61602,4.96835,4.55241,0.00080845,0.00080845,0.00080845
32,648.648,0.64196,0.97855,1.1313,0.69238,0.5,0.40811,0.21554,1.61602,4.96835,4.55241,0.000823056,0.000823056,0.000823056
33,662.873,0.58407,0.90762,1.07385,0.74769,0.25,0.32618,0.27104,1.51978,3.09555,4.63626,0.00083692,0.00083692,0.00083692
34,676.797,0.66856,1.18751,1.24154,0.74769,0.25,0.32618,0.27104,1.51978,3.09555,4.63626,0.000841625,0.000841625,0.000841625
35,690.579,0.59099,0.95332,1.08326,0.74769,0.25,0.32618,0.27104,1.51978,3.09555,4.63626,0.00082925,0.00082925,0.00082925
36,704.632,0.60014,0.77001,1.09555,0.5741,0.375,0.35783,0.21119,1.58588,3.87724,4.13581,0.000816875,0.000816875,0.000816875
37,719.033,0.66177,0.92174,1.16521,0.5741,0.375,0.35783,0.21119,1.58588,3.87724,4.13581,0.0008045,0.0008045,0.0008045
38,733.173,0.63824,0.86768,1.18476,0.5741,0.375,0.35783,0.21119,1.58588,3.87724,4.13581,0.000792125,0.000792125,0.000792125
39,747.193,0.64621,1.00365,1.17895,0.6355,0.74021,0.62263,0.3971,1.35832,3.84046,3.44914,0.00077975,0.00077975,0.00077975
40,761.21,0.62309,0.80186,1.0945,0.6355,0.74021,0.62263,0.3971,1.35832,3.84046,3.44914,0.000767375,0.000767375,0.000767375
41,775.238,0.70288,0.96009,1.20554,0.52464,0.87344,0.66391,0.468,1.44034,2.56267,3.28977,0.000755,0.000755,0.000755
42,789.202,0.63087,0.86184,1.13977,0.52464,0.87344,0.66391,0.468,1.44034,2.56267,3.28977,0.000742625,0.000742625,0.000742625
43,803.175,0.83483,1.19962,1.39791,0.52464,0.87344,0.66391,0.468,1.44034,2.56267,3.28977,0.00073025,0.00073025,0.00073025
44,817.147,0.61701,0.88598,1.1869,0.58596,0.69624,0.57579,0.42211,1.54174,3.03255,2.95972,0.000717875,0.000717875,0.000717875
45,831.139,0.66244,0.80529,1.0895,0.58596,0.69624,0.57579,0.42211,1.54174,3.03255,2.95972,0.0007055,0.0007055,0.0007055
46,845.291,0.61559,0.76641,1.05177,0.58596,0.69624,0.57579,0.42211,1.54174,3.03255,2.95972,0.000693125,0.000693125,0.000693125
47,859.536,0.52135,0.8356,1.14087,0.32807,0.625,0.28222,0.227,1.8776,3.56368,3.077,0.00068075,0.00068075,0.00068075
48,874.188,0.74804,1.02792,1.28229,0.32807,0.625,0.28222,0.227,1.8776,3.56368,3.077,0.000668375,0.000668375,0.000668375
49,891.536,0.68437,0.87709,1.25416,0.56534,0.375,0.41183,0.34016,1.95327,3.62559,3.36721,0.000656,0.000656,0.000656
50,913.297,0.5197,0.75859,1.0934,0.56534,0.375,0.41183,0.34016,1.95327,3.62559,3.36721,0.000643625,0.000643625,0.000643625
